# Liste des 298 mots faciles du niveau A2 (étape 1 / fondamentaux)

word_20 | FR: ah | EN: ah | ES: ah | DE: ah | interj
word_281 | FR: assez / suffisamment | EN: enough / sufficiently | ES: suficiente / bastante | DE: genug / ausreichend | adverbe
word_291 | FR: sauf / excepté | EN: except / apart from / but | ES: excepto / salvo | DE: außer | prep
word_26 | FR: seul / solitaire | EN: alone / lonely / solitary | ES: solo / solitario | DE: allein / einsam | adjectif
word_435 | FR: donner un coup de pied / botter | EN: kick | ES: patear / dar una patada | DE: treten / kicken | verbe
word_558 | FR: emballer / faire sa valise | EN: pack / wrap | ES: empacar / hacer la maleta | DE: packen / einpacken | verbe
word_318 | FR: filmer / tourner / enregistrer | EN: film / shoot / record | ES: filmar / rodar / grabar | DE: filmen / aufnehmen | verbe
word_455 | FR: mener / diriger / guider | EN: lead / guide / direct | ES: guiar / liderar / dirigir | DE: führen / leiten | verbe
word_626 | FR: pousser / presser | EN: push / press / shove | ES: empujar / apretar | DE: schieben / drücken / stoßen | verbe
word_565 | FR: réussir / passer | EN: pass / succeed | ES: aprobar / pasar | DE: bestehen / vorbeigehen | verbe
word_284 | FR: surtout / particulièrement / notamment | EN: especially / particularly / notably | ES: especialmente / sobre todo | DE: besonders / vor allem | adverbe
word_404 | FR: y compris / avec | EN: including / with | ES: incluyendo / inclusive | DE: einschließlich / samt | prep
word_4 | FR: accepter | EN: accept / agree to | ES: aceptar | DE: akzeptieren / annehmen | verbe
word_55 | FR: attaquer | EN: attack | ES: atacar | DE: angreifen | verbe
word_316 | FR: combattre / se battre / lutter | EN: fight / battle / struggle | ES: pelear / luchar / combatir | DE: kämpfen / streiten | verbe
word_234 | FR: diriger / mener / guider | EN: direct / lead / guide | ES: dirigir / liderar / guiar | DE: leiten / führen | verbe
word_362 | FR: guider / orienter / mener | EN: guide / lead / direct | ES: guiar / orientar / dirigir | DE: führen / leiten | verbe
word_425 | FR: inviter / convier | EN: invite | ES: invitar / convidar | DE: einladen / bitten | verbe
word_24 | FR: permettre / autoriser | EN: allow / permit / let | ES: permitir / autorizar | DE: erlauben / gestatten | verbe
word_588 | FR: planter | EN: plant | ES: plantar | DE: pflanzen | verbe
word_606 | FR: préférer | EN: prefer | ES: preferir | DE: bevorzugen / vorziehen | verbe
word_653 | FR: refuser / rejeter | EN: refuse / decline / reject | ES: rechazar / negar | DE: ablehnen / verweigern | verbe
word_658 | FR: réparer / dépanner | EN: repair / fix / mend | ES: reparar / arreglar | DE: reparieren / ausbessern | verbe
word_660 | FR: répondre | EN: reply / answer / respond | ES: responder / contestar | DE: antworten / erwidern | verbe
word_837 | FR: toucher / effleurer | EN: touch / feel | ES: tocar / palpar | DE: berühren / anfassen | verbe
word_168 | FR: comparer | EN: compare / match | ES: comparar / cotejar | DE: vergleichen / abgleichen | verbe
word_175 | FR: connecter / relier / brancher | EN: connect / link / plug in | ES: conectar / enlazar / unir | DE: verbinden / anschließen | verbe
word_180 | FR: continuer / poursuivre | EN: continue / go on / carry on | ES: continuar / seguir | DE: weitergehen / fortsetzen | verbe
word_130 | FR: célébrer / fêter | EN: celebrate | ES: celebrar / festejar | DE: feiern / zelebrieren | verbe
word_219 | FR: décrire | EN: describe | ES: describir | DE: beschreiben | verbe
word_225 | FR: détruire / démolir | EN: destroy / ruin / wreck | ES: destruir / destrozar | DE: zerstören / vernichten | verbe
word_609 | FR: empêcher / éviter / prévenir | EN: prevent / stop / avoid | ES: impedir / evitar / prevenir | DE: verhindern / vermeiden | verbe
word_400 | FR: imaginer / concevoir | EN: imagine / picture | ES: imaginar / figurarse | DE: sich vorstellen / erdenken | verbe
word_552 | FR: organiser / planifier | EN: organise / organize / plan | ES: organizar / planear | DE: organisieren / planen | verbe
word_619 | FR: promettre | EN: promise / pledge | ES: prometer | DE: versprechen / zusagen | verbe
word_621 | FR: protéger / préserver | EN: protect / guard / shield | ES: proteger / resguardar | DE: schützen / beschützen | verbe
word_607 | FR: préparer / cuisiner | EN: prepare / make | ES: preparar / cocinar | DE: vorbereiten / zubereiten | verbe
word_51 | FR: comme / en tant que | EN: as | ES: como | DE: wie / als | prep
word_34 | FR: n'importe lequel / n'importe laquelle | EN: any | ES: cualquiera | DE: irgendein / jeder | pron
word_573 | FR: par | EN: per | ES: por | DE: pro | prep
word_548 | FR: sur | EN: onto / upon | ES: sobre / encima de | DE: auf | prep
word_23 | FR: tout / tous / toutes | EN: all | ES: todo / todos / todas | DE: alle / alles | pron
word_17 | FR: après | EN: after | ES: después de | DE: nach | prep
word_48 | FR: autour | EN: around | ES: alrededor | DE: herum | adverbe
word_76 | FR: avant | EN: before | ES: antes de | DE: vor | prep
word_37 | FR: de toute façon / en tout cas | EN: anyway / anyhow / in any case | ES: de todos modos / de todas formas | DE: jedenfalls / sowieso / wie dem auch sei | adverbe
word_732 | FR: depuis | EN: since | ES: desde | DE: seit | prep
word_27 | FR: le long de | EN: along | ES: a lo largo de | DE: entlang | prep
word_266 | FR: non plus / soit | EN: either | ES: tampoco / o | DE: auch nicht / entweder | adverbe
word_30 | FR: parmi | EN: among | ES: entre | DE: unter | prep
word_888 | FR: pendant que | EN: while | ES: mientras | DE: während | conjonction
word_25 | FR: presque / quasiment | EN: almost / nearly | ES: casi / por poco | DE: fast / beinahe | adverbe
word_524 | FR: presque / à peu près | EN: nearly / almost | ES: casi / por poco | DE: fast / beinahe | adverbe
word_414 | FR: à l'intérieur / dedans | EN: inside / indoors | ES: adentro / en el interior | DE: drinnen / innen | adverbe
word_7 | FR: agir | EN: act | ES: actuar | DE: handeln | verbe
word_415 | FR: au lieu de / à la place de | EN: instead / in place of | ES: en lugar de / en vez de | DE: stattdessen / anstatt | adverbe
word_29 | FR: bien que | EN: although | ES: aunque | DE: obwohl | conjonction
word_109 | FR: brûler | EN: burn | ES: quemar | DE: brennen / verbrennen | verbe
word_378 | FR: cacher / dissimuler | EN: hide / conceal | ES: esconder / ocultar | DE: verstecken / verbergen | verbe
word_18 | FR: contre | EN: against | ES: contra | DE: gegen | prep
word_187 | FR: copier | EN: copy | ES: copiar | DE: kopieren | verbe
word_584 | FR: cueillir / ramasser | EN: pick / gather | ES: recoger / recolectar | DE: pflücken / sammeln | verbe
word_28 | FR: déjà | EN: already | ES: ya | DE: schon / bereits | adverbe
word_439 | FR: embrasser / baiser | EN: kiss | ES: besar | DE: küssen | verbe
word_83 | FR: entre | EN: between | ES: entre | DE: zwischen | prep
word_394 | FR: faire mal / blesser | EN: hurt / injure / harm | ES: doler / lastimar / herir | DE: wehtun / verletzen | verbe
word_778 | FR: faire un pas / marcher (sur qch) | EN: step | ES: dar un paso | DE: treten | verbe
word_726 | FR: fermer | EN: shut / close | ES: cerrar | DE: schließen / zumachen | verbe
word_384 | FR: frapper / toucher / cogner | EN: hit / strike | ES: golpear / pegar | DE: schlagen / treffen | verbe
word_262 | FR: gagner / mériter | EN: earn / make | ES: ganar / devengar | DE: verdienen | verbe
word_257 | FR: laisser tomber / lâcher | EN: drop / let fall | ES: dejar caer / soltar | DE: fallen lassen / abwerfen | verbe
word_38 | FR: n'importe où | EN: anywhere | ES: en cualquier lugar / en cualquier parte | DE: irgendwo | adverbe
word_35 | FR: n'importe qui | EN: anybody | ES: cualquiera | DE: irgendjemand | pron
word_687 | FR: naviguer | EN: sail | ES: navegar | DE: segeln | verbe
word_36 | FR: ne plus / plus / ne ... plus | EN: any more / anymore / no longer | ES: ya no | DE: nicht mehr | adverbe
word_287 | FR: partout / aux quatre coins | EN: everywhere / all over | ES: en todas partes / por todos lados | DE: überall / allerorts | adverbe
word_200 | FR: pleurer / crier | EN: cry / weep | ES: llorar / gritar | DE: weinen / schreien | verbe
word_717 | FR: plusieurs | EN: several | ES: varios | DE: mehrere | adverbe
word_461 | FR: prêter | EN: lend / loan | ES: prestar | DE: leihen / ausleihen | verbe
word_759 | FR: quelque part | EN: somewhere | ES: en algún lugar | DE: irgendwo | adverbe
word_470 | FR: relier / lier | EN: link / connect | ES: enlazar / conectar / unir | DE: verbinden | verbe
word_775 | FR: rester / demeurer / loger | EN: stay / remain / lodge | ES: quedarse / permanecer / alojarse | DE: bleiben / verweilen / übernachten | verbe
word_507 | FR: s'en soucier / déranger | EN: mind / bother / care | ES: importar / molestar | DE: ausmachen / stören | verbe
word_434 | FR: sauter / bondir | EN: jump / leap / hop | ES: saltar / brincar | DE: springen / hüpfen | verbe
word_667 | FR: se reposer / faire une pause | EN: rest / relax / take a break | ES: descansar / reposar | DE: sich ausruhen / rasten | verbe
word_118 | FR: se soucier | EN: care | ES: preocuparse por | DE: sich kümmern | verbe
word_673 | FR: sonner / retentir | EN: ring / chime | ES: sonar / repicar | DE: klingeln / läuten | verbe
word_896 | FR: souhaiter / désirer | EN: wish / desire / want | ES: desear / querer | DE: wünschen / ersehnen | verbe
word_466 | FR: soulever / lever / hausser | EN: lift / raise / elevate | ES: levantar / alzar | DE: heben / anheben | verbe
word_332 | FR: suivant / suivante | EN: following / next | ES: siguiente / próximo | DE: folgend / nächste | adjectif
word_386 | FR: tenir / garder | EN: hold / keep | ES: sostener / aguantar / sujetar | DE: halten / festhalten | verbe
word_625 | FR: tirer | EN: pull / drag | ES: tirar / jalar | DE: ziehen / zerren | verbe
word_437 | FR: tuer | EN: kill | ES: matar | DE: töten / umbringen | verbe
word_710 | FR: vendre | EN: sell | ES: vender | DE: verkaufen | verbe
word_474 | FR: verrouiller / fermer à clé | EN: lock | ES: cerrar con llave | DE: abschließen | verbe
